brand_account_name,Industry,Category,Involvement,Insta page
seventhgeneration,CGP & consumer products,Home Care,Low,https://www.instagram.com/seventhgeneration/
blueland,CGP & consumer products,Home Care,Low,https://www.instagram.com/blueland/?igshid=YmMyMTA2M2Y=
whogivesacraptp,CGP & consumer products,Home Care,Low,https://www.instagram.com/whogivesacraptp/?igshid=Ym
grovecollaborative,CGP & consumer products,Home Care,Low,https://www.instagram.com/grovecollaborative/
branchbasics,CGP & consumer products,Home Care,Low,https://www.instagram.com/branchbasics/?hl=en
evianwater,CGP & consumer products,Food & beverages,Low,https://www.instagram.com/evianwater/?hl=en
benandjerrys,CGP & consumer products,Food & beverages,Low,https://www.instagram.com/benandjerrys/?hl=en
chobani,CGP & consumer products,Food & beverages,Low,https://www.instagram.com/chobani/?hl=en
beyondmeat,CGP & consumer products,Food & beverages,Low,https://www.instagram.com/beyondmeat/?hl=en
tillamook,CGP & consumer products,Food & beverages,Low,https://www.instagram.com/tillamook/?hl=en
ethiqueworld,Retail,Cosmetics,High,https://www.instagram.com/ethiqueworld/?igshid=YmMyMTA2M2Y=
osea_cosmetics,Retail,Cosmetics,High,https://www.instagram.com/oseamalibu/
facetheory,Retail,Cosmetics,High,https://www.instagram.com/facetheory/reels/?hl=en
iliabeauty,Retail,Cosmetics,High,https://www.instagram.com/iliabeauty/?hl=en
supergoop,Retail,Cosmetics,High,https://www.instagram.com/supergoop/?igshid=YmMyMTA2M2Y=
pact_worldwide,Retail,Clothing,High,https://www.instagram.com/_pact_/?igshid=YmMyMTA2M2Y=
patagonia,Retail,Clothing,High,https://www.instagram.com/patagonia/?hl=en
veja,Retail,Clothing,High,https://www.instagram.com/veja/?hl=en
kotn,Retail,Clothing,High,https://www.instagram.com/kotn/
allbirds,Retail,Clothing,High,https://www.instagram.com/Allbirds/
